Hotel_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
549,Porto Walter,BR,72.59,-8.2686,-72.7439,Secretaria de saúde
550,Saquena,PE,72.81,-4.6667,-73.5167,
551,Angoche,MZ,75.78,-16.2325,39.9086,Guest House HESADA
553,San Juan,AR,77.5,-31.5375,-68.5364,Hotel Provincial
554,La Palma,US,81.21,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
556,Meulaboh,ID,75.2,4.1363,96.1285,Kost Pria
559,Hervey Bay,AU,81.21,-25.2986,152.8535,Shelly Bay Resort
562,Cabedelo,BR,79.74,-6.9811,-34.8339,Hotel Pigalle
565,Ternate,ID,83.84,0.8,127.4,Sahid Bela Ternate Hotel
566,Mayumba,GA,78.26,-3.432,10.6554,LIKWALE LODGE
567,Manchar,IN,69.57,19.0,73.9333,Niwara Lodge
