City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
420,Road Town,VG,78.89,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
423,Porto Walter,BR,79.59,overcast clouds,-8.2686,-72.7439,Secretaria de saúde
424,Dumabato,PH,70.14,broken clouds,16.3167,121.7,JBT MOUNTAIN VIEW RECREATIONAL PLACE
428,Itupiranga,BR,74.88,heavy intensity rain,-5.1347,-49.3267,Hotel Panorama
429,Touros,BR,83.3,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
432,Berbera,SO,74.3,broken clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
434,Yeppoon,AU,82.18,clear sky,-23.1333,150.7333,Villa Mar Colina
437,The Valley,AI,78.94,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
440,Miragoane,HT,78.94,clear sky,18.4423,-73.0876,MMM K-TICHON
441,Manono,CD,70.3,light rain,-7.3,27.4167,Hotel hewa bora
443,Mareeba,AU,84.49,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
445,Eydhafushi,MV,80.82,clear sky,5.1033,73.0708,Soneva Fushi
451,West Bay,KY,83.07,few clouds,19.3667,-81.4167,Calypso Cove
452,Banjar,ID,76.91,overcast clouds,-8.19,114.9675,The Hamsa Resort
454,Kieta,PG,83.84,light rain,-6.2167,155.6333,Uruna Bay Retreat
459,Hambantota,LK,76.82,overcast clouds,6.1241,81.1185,Bungalow 63
461,Dargaville,NZ,74.3,overcast clouds,-35.9333,173.8833,Parkview Motel
465,Daru,PG,81.05,overcast clouds,-9.0763,143.2092,Daru Lodge
467,Sawakin,SD,73.81,overcast clouds,19.1059,37.3321,فندق الدويم
468,Richards Bay,ZA,70.43,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
469,Dzilam Gonzalez,MX,80.98,scattered clouds,21.2833,-88.9333,posadas
472,Ampanihy,MG,73.74,few clouds,-24.7,44.75,Angora Hotel
473,Iracoubo,GF,76.37,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
475,Port Hedland,AU,77.05,clear sky,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
477,Maragogi,BR,78.98,moderate rain,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
479,Tabou,CI,79.63,scattered clouds,4.423,-7.3528,hotêl doufoulougou
485,Cootamundra,AU,71.94,overcast clouds,-34.65,148.0333,Cootamundra Gardens Motel & indian restaurant
493,Conde,BR,81.86,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
495,Anloga,GH,84.42,light rain,5.7947,0.8973,Pin Drop Hotel
501,Sulya,IN,73.44,broken clouds,12.5667,75.3833,RIVER ISLAND LODGING
502,Boone,US,73.06,overcast clouds,39.0334,-92.3335,Cottonwoods RV Park
511,Pak Phanang,TH,77.11,scattered clouds,8.3511,100.202,Green Park Inn Hotel
514,Tamandare,BR,79.03,light rain,-8.7597,-35.1047,Pousada 100 Passos
516,Umarkot,PK,70.74,clear sky,25.3616,69.7362,Al-Qamar Boys Hostel
519,Coahuayana,MX,83.39,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
520,Dwarka,IN,73.63,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
521,Kavaratti,IN,82.87,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
522,Mahibadhoo,MV,81.05,clear sky,3.7833,72.9667,Omadhoo Inn
523,Payo,ID,73.06,moderate rain,-3.7508,103.6372,Mess keban agung
529,Domoni,KM,78.37,light rain,-12.2569,44.5319,Al Djadid
530,Bonthe,SL,77.68,few clouds,7.5264,-12.505,Bonthe Holiday Village
540,Vallenar,CL,76.57,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
543,Ewa Beach,US,81.01,overcast clouds,21.3156,-158.0072,Base Lodging
544,Santa Rosa,PH,79.02,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
548,Kaeo,NZ,72.32,broken clouds,-35.1,173.7833,Bushido Lodge
550,Bitung,ID,74.25,overcast clouds,1.4451,125.1824,K2 Lembeh
553,Boffa,GN,77.5,overcast clouds,10.1667,-14.0333,Hôtel Niara Belly
554,San Luis,AR,76.03,broken clouds,-33.295,-66.3356,Huarpes Hotel
562,Springdale,US,71.42,clear sky,36.1867,-94.1288,Springdale Inn
566,Ruwi,OM,76.69,overcast clouds,23.5996,58.5507,Al Falaj Hotel
567,Wad Madani,SD,82.81,few clouds,14.4012,33.5199,فندق يوغسلافيا
571,Waingapu,ID,79.41,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
592,Kassala,SD,75.61,overcast clouds,15.451,36.4,Amassi Hotel Gash
599,Neuquen,AR,75.09,clear sky,-38.9516,-68.0591,Hotel del Comahue
601,Mulege,MX,75.04,clear sky,26.8833,-111.9833,Casa Granada
607,Saint-Georges,GD,78.48,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
610,Jati,PK,72.27,clear sky,24.3539,68.2671,Cafe Lala Rehan Restaurant
612,Sakaraha,MG,72.91,clear sky,-22.9,44.5333,Le Relais
614,Abu Dhabi,AE,71.71,clear sky,24.4667,54.3667,Beach Rotana
623,Mangrol,IN,72.79,clear sky,21.1167,70.1167,Hotel The Royal Honours
